cityZZZS,addressZZZS,lat,lon,street,streetAlt,housenumber,housenumberAppendix,city,cityAlt,municipalityPart,municipality,zipCode,zipName,statisticalRegion
2000 MARIBOR,METELKOVA ULICA 48,46.54221,15.64158,Metelkova ulica,,48,,Maribor,,Tabor,Maribor,2000,Maribor,Podravska
2000 MARIBOR,MINAŘIKOVA ULICA 6,46.53211,15.66589,Minařikova ulica,,6,,Maribor,,Tezno,Maribor,2000,Maribor,Podravska
2000 MARIBOR,MLADINSKA ULICA 54,46.56505,15.63517,Mladinska ulica,,54,,Maribor,,Koroška vrata,Maribor,2000,Maribor,Podravska
2000 MARIBOR,NA SOSESKI 14,46.53872,15.63408,Na soseski,,14,,Maribor,,Nova vas,Maribor,2000,Maribor,Podravska
2000 MARIBOR,NA TRATI 2,46.53586,15.68739,Na trati,,2,,Maribor,,Brezje-Dogoše-Zrkovci,Maribor,2000,Maribor,Podravska
2000 MARIBOR,OB GOZDU 21,46.54720,15.65998,Ob gozdu,,21,,Maribor,,Pobrežje,Maribor,2000,Maribor,Podravska
2000 MARIBOR,OBLAKOVA ULICA 4,46.54231,15.63117,Oblakova ulica,,4,,Maribor,,Nova vas,Maribor,2000,Maribor,Podravska
2000 MARIBOR,PANONSKA ULICA 41,46.52555,15.67945,Panonska ulica,,41,,Maribor,,Tezno,Maribor,2000,Maribor,Podravska
2000 MARIBOR,PARK MLADIH 4,46.54607,15.64304,Park mladih,,4,,Maribor,,Tabor,Maribor,2000,Maribor,Podravska
2000 MARIBOR,PARTIZANSKA CESTA 49,46.56252,15.65721,Partizanska cesta,,49,,Maribor,,Ivan Cankar,Maribor,2000,Maribor,Podravska
2000 MARIBOR,PARTIZANSKA CESTA 59,46.56358,15.65790,Partizanska cesta,,59,,Maribor,,Ivan Cankar,Maribor,2000,Maribor,Podravska
2000 MARIBOR,PEKRSKA CESTA 56,46.55488,15.61140,Pekrska cesta,,56,,Maribor,,Studenci,Maribor,2000,Maribor,Podravska
2000 MARIBOR,POBREŠKA CESTA 18,46.55397,15.65315,Pobreška cesta,,18,,Maribor,,Magdalena,Maribor,2000,Maribor,Podravska
2000 MARIBOR,POBREŠKA CESTA 6,46.55441,15.64665,Pobreška cesta,,6,,Maribor,,Magdalena,Maribor,2000,Maribor,Podravska
2000 MARIBOR,POHORSKA ULICA 21 B,46.53831,15.60509,Pohorska ulica,,21,B,Maribor,,Radvanje,Maribor,2000,Maribor,Podravska
